Â ,TEAM,GP,W,L,DW,DL,POINTS,MAP WINS,P%
1,Team Bug,9,9,0,0,0,27,18-0,1.00
2,Team Koffee,9,6,2,1,0,20,14-5,0.74
3,Winners in Life,8,4,2,2,0,16,12-6,0.67
4,Team Small,7,4,1,1,1,15,11-5,0.71
5,Team Vernon,3,3,0,0,0,9,6-0,1.00
6,Team Raynn,7,1,3,1,2,7,6-11,0.33
7,Femme Fatale,9,1,4,0,4,7,6-16,0.26
8,Team Mind,5,2,3,0,0,6,4-6,0.40
9,Bombers,5,1,3,0,1,4,3-8,0.27
10,Pepseeper.Style,5,0,3,2,0,4,4-8,0.27
11,Quattro Team,5,0,4,1,0,2,2-9,0.13
12,Team KEEPer,3,0,3,0,0,0,0-6,0.00
13,Team Rocky,3,0,3,0,0,0,0-6,0.00